commonName,speciesName,maxLength,minDepthRange,maxDepthRange,environment,numberOfEnvironments,climateZone,distribution,numberOfLocations
abalone visored shrimp,"Betaeus harfordi (Kingsley, 1878)",n/a,n/a,n/a,benthic,1,tropical,eastern pacific,1
Adonis shrimp,"Parapenaeopsis venusta (De Man, 1907)",4.5,11,44,benthic,1,tropical,"western central pacific: malaysia, indonesia, and australia",4
Aesop shrimp,"Pandalus montagui (Leach, 1814)",16,0,968,benthic,1,temperate,"northern atlantic and the arctic: from canada and usa to uk, germany and russia",7
African mud shrimp,"Solenocera africana (Stebbing, 1917)",14,25,774,benthic,1,tropical,"eastern atlantic and western indian ocean: morocco, gibraltar strait to durban, south africa",26
african spider shrimp,"Nematocarcinus africanus (Crosnier & Forest, 1973)",10.4,200,755,benthic,1,tropical,eastern atlantic : from senegal to namibia,20
akiami paste shrimp,"Acetes japonicus (Kishinouye, 1905)",1.8,1,100,"pelagic, brackish",2,tropical,indo-west pacific,1
alamang shrimp,"Acetes sibogae (Hansen, 1919)",4,0,55,"benthopelagic, brackish",2,tropical,indo-west pacific: africa to australia,3
Alaska bay shrimp or Alaska shrimp,"Crangon alaskensis (Lockington, 1877)",n/a,n/a,n/a,benthic,1,temperate,eastern pacific: alaska to usa,3
Alaska coastal shrimp,"Heptacarpus moseri (M. J. Rathbun, 1902)",n/a,n/a,n/a,benthic,1,tropical,eastern pacific,1
Alaskan pink shrimp,"Pandalus eous (Makarov, 1935)",n/a,500,900,benthic,1,temperate,pacific ocean: korea and canada,3
Aleutian coastal shrimp,"Heptacarpus maxillipes (M. J. Rathbun, 1902)",n/a,n/a,n/a,benthic,1,tropical,eastern pacific,1
alkali fairy shrimp,"Branchinecta mackini (Dexter, 1956)",n/a,n/a,n/a,"benthic, freshwater",2,n/a,middle america,1
American grass shrimp,"Cuapetes americanus (Kingsley, 1878)",n/a,1,73,benthic,1,subtropical,western atlantic: canada to brazil,12
anchialine pool shrimp or Maui anchialine shrimp,"Palaemonella burnsi (Holthuis, 1973)",n/a,n/a,n/a,benthic,1,n/a,indo-west pacific,1
